bus_i;bus_type;Pd;Qd;Gs;Bs;bus_area;Vm;Va;base_kV;zone;Vmax;Vmin
84;1;0.019049485297872343;0.00626099410106383;0;0;0;0.953346704083472;-0.899640476134073;22;0;1.05;0.95
85;1;0.0;0.0;0;0;0;0.953114076319118;-0.9044675989985332;22;0;1.05;0.95
86;1;0.0;0.0;0;0;0;0.9529195376038307;-0.9083296400235682;22;0;1.05;0.95
87;1;0.0;0.0;0;0;0;0.9529196449823384;-0.9083399246402506;22;0;1.05;0.95
88;1;0.0;0.0;0;0;0;0.9529196458914606;-0.908340012164514;22;0;1.05;0.95
89;1;0.0;0.0;0;0;0;0.9529150758826196;-0.9084174987167004;22;0;1.05;0.95
90;1;0.03703200188429933;0.012171308204566942;0;0;0;0.95291268706952;-0.9084556981042352;22;0;1.05;0.95
91;1;0.11340694609449423;0.03727346082575227;0;0;0;0.9529081758799196;-0.9088703863042688;22;0;1.05;0.95
92;1;0.0184433595;0.006061779;0;0;0;0.9529195230061251;-0.908330179574104;22;0;1.05;0.95
93;1;0.0;0.0;0;0;0;0.9529195132643788;-0.9083305680757666;22;0;1.05;0.95
94;1;0.0;0.0;0;0;0;0.9528692842598238;-0.9099972100931124;22;0;1.05;0.95
95;1;0.0;0.0;0;0;0;0.9528622651724076;-0.9100286561650196;22;0;1.05;0.95
96;1;0.17516916671167454;0.05757285028865055;0;0;0;0.952788207990482;-0.9096369854333676;22;0;1.05;0.95
97;1;0.0;0.0;0;0;0;0.9530338843259318;-0.9046556463437244;22;0;1.05;0.95
98;1;0.0;0.0;0;0;0;0.9530282231876002;-0.9047438872409428;22;0;1.05;0.95
99;1;0.082191692;0.027013943;0;0;0;0.9530282177332092;-0.904744052925508;22;0;1.05;0.95
100;1;0.0;0.0;0;0;0;0.953577499866394;-0.8928204774999146;22;0;1.05;0.95
101;1;0.12517981773626594;0.041142850888821934;0;0;0;0.953577486465317;-0.8928208843414401;22;0;1.05;0.95
102;1;0.0;0.0;0;0;0;0.9542579176909332;-0.8876252096941397;22;0;1.05;0.95
103;1;0.21794616242024117;0.07163236550305296;0;0;0;0.9542161372162242;-0.887751366894913;22;0;1.05;0.95
104;1;0.0;0.0;0;0;0;0.9541775669444856;-0.8878633303750573;22;0;1.05;0.95
105;1;0.29598809195107895;0.09728240579127344;0;0;0;0.954177547630735;-0.8878639163499181;22;0;1.05;0.95
106;1;0.202089304;0.066420691;0;0;0;0.955571170930874;-0.8694806809801634;22;0;1.05;0.95
107;1;0.0;0.0;0;0;0;0.954788078296081;-0.8842452192331983;22;0;1.05;0.95
108;1;0.10865630032138344;0.035712066087070914;0;0;0;0.9547876343456608;-0.884251791574587;22;0;1.05;0.95
109;1;0.03790133533707437;0.012457032116918454;0;0;0;0.9692147557280616;-0.6239341353826934;22;0;1.05;0.95
110;1;0.0;0.0;0;0;0;0.9690868160046576;-0.6248107956605564;22;0;1.05;0.95
111;1;0.26701837947663176;0.0877609306895259;0;0;0;0.9690857941228314;-0.6248257196882443;22;0;1.05;0.95
112;1;0.0;0.0;0;0;0;0.9693106324119758;-0.6239682314886442;22;0;1.05;0.95
113;1;0.0007464402403132463;0.0002453322079451819;0;0;0;0.9693106323598272;-0.6239682330461274;22;0;1.05;0.95
114;1;0.062352990657460694;0.02049355748687535;0;0;0;0.9691910711852;-0.6248339115528141;22;0;1.05;0.95
115;1;0.0;0.0;0;0;0;0.9693282550550965;-0.6235275335580317;22;0;1.05;0.95
116;1;0.0;0.0;0;0;0;0.966958767771718;-0.6645145935850313;22;0;1.05;0.95
117;1;0.10731462889029017;0.035271099182819454;0;0;0;0.960249836881209;-0.7894860657309171;22;0;1.05;0.95
118;1;0.02839646834792117;0.009333066953685205;0;0;0;0.9693282527073228;-0.6235276036756091;22;0;1.05;0.95
119;1;0.0;0.0;0;0;0;0.966889140941854;-0.6652435668648834;22;0;1.05;0.95
120;1;0.23494634483573745;0.07721981544481488;0;0;0;0.966772283422132;-0.664614083531831;22;0;1.05;0.95
121;1;0.06375777911807382;0.020955269722952752;0;0;0;0.9668665527318508;-0.6656890867928211;22;0;1.05;0.95
122;1;0.0;0.0;0;0;0;0.966889198296115;-0.6652591280136987;22;0;1.05;0.95
123;1;0.0;0.0;0;0;0;0.9668891987823616;-0.6652591740381066;22;0;1.05;0.95
124;1;0.14338637072038263;0.04712679809983056;0;0;0;0.9669587602819736;-0.6645148178185891;22;0;1.05;0.95
